dataset,rank,augmentation,mode,map50_95,ap_gap_recovery,loss_gap_recovery
visdrone500,32,hflip,transport,0.0011131777543962307,0.0,0.0
visdrone500,32,hflip,mean_only,0.0011089468305995936,-0.0005685109906564291,0.01635707938263632
visdrone500,32,hflip,oracle,0.007896594051496366,0.9114904698034556,0.9598557910000659
visdrone500,32,hflip,predicted,0.007839390624088324,0.9038040214654974,0.9446351154039438
visdrone500,32,zoom_in15,transport,0.0028478263104206843,0.0,0.0
visdrone500,32,zoom_in15,mean_only,0.003913210354928073,0.13629351487067135,0.19854786568798494
visdrone500,32,zoom_in15,oracle,0.00837484408462259,0.707065853935292,0.8719343376706424
visdrone500,32,zoom_in15,predicted,0.004561883076077451,0.21927756707416607,0.22144604212287136
visdrone500,64,hflip,transport,0.0011131777543962307,0.0,0.0
visdrone500,64,hflip,mean_only,0.0011091272103861693,-0.0005442732836946429,0.016350485928440347
visdrone500,64,hflip,oracle,0.008488800916686596,0.9910655526424421,0.9950205828315516
visdrone500,64,hflip,predicted,0.008188807152507216,0.9507552657495584,0.9809440190280053
visdrone500,64,zoom_in15,transport,0.0028478263104206843,0.0,0.0
visdrone500,64,zoom_in15,mean_only,0.003913171474474963,0.13628854093320575,0.1985455141097727
visdrone500,64,zoom_in15,oracle,0.010320148410398229,0.9559266900065464,0.9383810394561252
visdrone500,64,zoom_in15,predicted,0.004698680314399629,0.2367779009036927,0.19872273404389248
visdrone500,96,hflip,transport,0.0011131777543962307,0.0,0.0
visdrone500,96,hflip,mean_only,0.001109119363407945,-0.0005453276854230582,0.016357065974493247
visdrone500,96,hflip,oracle,0.007982599899671301,0.923047111401927,1.0032105244722584
visdrone500,96,hflip,predicted,0.007855042985105719,0.9059072357269276,0.9850053337340451
visdrone500,96,zoom_in15,transport,0.0028478263104206843,0.0,0.0
visdrone500,96,zoom_in15,mean_only,0.003913610198585926,0.13634466646976692,0.19854584614324108
visdrone500,96,zoom_in15,oracle,0.010887878024602947,1.0285557715241966,0.9574614091317983
visdrone500,96,zoom_in15,predicted,0.004346198494752698,0.1916852543830632,0.17563329851858187
coco128,32,hflip,transport,6.855518484430127e-05,0.0,0.0
coco128,32,hflip,mean_only,5.491280240959316e-05,-0.07529517618641503,-0.08897728742034255
coco128,32,hflip,oracle,7.831010452961673e-05,0.053839452156207786,1.020734808980437
coco128,32,hflip,predicted,4.749679075738126e-05,-0.11622570328651896,2.438432316974952
coco128,32,zoom_in15,transport,0.0006126596980255516,-0.0,-0.0
coco128,32,zoom_in15,mean_only,0.0017561447623624725,-2.1653831178201814,-0.17411014215592666
coco128,32,zoom_in15,oracle,0.0008918340591648714,-0.5286640528968026,-0.45070174618162356
coco128,32,zoom_in15,predicted,0.00045020675935324004,0.30763222171623666,0.22329961725575792
coco128,64,hflip,transport,6.855518484430127e-05,0.0,0.0
coco128,64,hflip,mean_only,5.491280240959316e-05,-0.07529517618641503,-0.08896320176366378
coco128,64,hflip,oracle,0.00012104243027587976,0.28968813997295545,1.4628936850750736
coco128,64,hflip,predicted,0.00013037166085946576,0.3411781244999747,2.1653280477207666
coco128,64,zoom_in15,transport,0.0006126596980255516,-0.0,-0.0
coco128,64,zoom_in15,mean_only,0.0017561447623624725,-2.1653831178201814,-0.17418217719515533
coco128,64,zoom_in15,oracle,0.0009064655149494596,-0.5563711986507802,1.1352873225011746
coco128,64,zoom_in15,predicted,0.0015525783972125437,-1.779895642557631,-0.3174319857068554
coco128,96,hflip,transport,6.855518484430127e-05,0.0,0.0
coco128,96,hflip,mean_only,5.491280240959316e-05,-0.07529517618641503,-0.08898667785813737
coco128,96,hflip,oracle,0.0004910558160855604,2.3318697903708805,3.0954119043302417
coco128,96,hflip,predicted,0.0002254230960676954,0.8657869745324357,2.073748886691388
coco128,96,zoom_in15,transport,0.0006126596980255516,-0.0,-0.0
coco128,96,zoom_in15,mean_only,0.0017561447623624725,-2.1653831178201814,-0.17416620168242125
coco128,96,zoom_in15,oracle,7.093912883089499e-05,1.0258398746906783,1.133708070451435
coco128,96,zoom_in15,predicted,0.0001595037986129613,0.8581276353597586,0.04040207170449153
